Ciudad Entidad,Departamento Entidad,Fecha,Valor real,Valor Proyectado,Tamaño valor extraño,Similitud de valor,veces la predicción
ABEJORRAL,ANTIOQUIA,2023,127.81991686159448,685.2272325634957,-5.369528909570927,30.012255742419423,243.33566140926368
ABREGO,NORTE DE SANTANDER,2023,122.56429876411686,314.1816980242728,-2.185600649116643,13.541788766502968,222.60283297624898
ACACÍAS,META,2023,11972.116280939881,5670.016581722351,2.731284573875547,65.46959040909262,5347.573821709122
ACEVEDO,HUILA,2023,131.8713847100216,951.6844035089017,-7.654790087391368,5.3727089260872205,49.322514539394476
ACHÍ,BOLÍVAR,2023,10.378557234974782,101.35600931011135,-0.8310891425218638,4.162257581594206,64.86498840281352
AGRADO,HUILA,2023,70.17524759131089,224.21622676849373,-1.634481356899348,4.537953703100661,116.06598947014555
AGUA DE DIOS,CUNDINAMARCA,2023,113.41192698707961,287.11832587420975,-1.9912625842450062,5.478435619909599,172.5738017047506
AGUACHICA,CESAR,2023,1283.0457403288567,1214.785890060663,-4.9542359214422005,34.88555161431822,514.621070485975
AGUADA,SANTANDER,2023,116.34604640630741,134.12207641601546,-0.6563645561766618,4.814709619832932,19.146586988163158
AGUADAS,CALDAS,2023,128.7076266443882,722.7119391441348,-5.689642211197943,22.821017031114014,269.42320315036085
AGUAZUL,CASANARE,2023,376.7202175183985,1072.498711965233,-7.640875262335817,27.271728597293677,427.8170020715748
AGUSTÍN CODAZZI,CESAR,2023,152.08487778364255,584.2245694518089,-4.391795874624944,18.202150140394814,67.47244559498105
AIPE,HUILA,2023,577.8205364620998,772.9227719068521,-4.182917873495269,15.335011939271723,203.6754110663807
ALBANIA,CAQUETÁ,2023,186.0018931411872,658.7590278625489,-4.889376973400743,4.757181640375874,32.62137519747337
ALBANIA,LA GUAJIRA,2023,60.36516037562594,329.8586706519127,-2.5898514305760423,12.540327018541895,118.4547479715918
ALBANIA,SANTANDER,2023,23.657023958929095,134.37573182582847,-1.0590737891057858,4.974560811169692,70.03126928367493
ALBÁN,CUNDINAMARCA,2023,137.71838397318294,251.23304195404057,-1.5761056396137185,5.062543134503317,28.51984349867468
ALBÁN,NARIÑO,2023,2290.1937265882693,174.90879338979755,8.384529299212021,16.09176091189365,59.61423864361096
ALCALÁ,VALLE DEL CAUCA,2023,4.36441359016908,0.931010627746582,0.010813048778409842,0.7214625523740992,21.469352221828824
ALDANA,NARIÑO,2023,56.005559003294174,159.0452181190253,-1.1324909057436028,9.670529923378835,165.59901515711408
ALEJANDRÍA,ANTIOQUIA,2023,73.42647397614012,123.0606979370117,-0.7462293535627103,0.969614070646854,92.36575082875015
ALGARROBO,MAGDALENA,2023,60.551514980914554,606.1763253271581,-4.977030056590756,27.909095244747327,127.77391789200186
ALGECIRAS,HUILA,2023,239.0767251606329,459.6671579003334,-2.939450544003873,22.191676879859678,126.35886169044063
ALMAGUER,CAUCA,2023,7.399531265287983,142.57678937912002,-1.2001987147754831,2.235245019514373,0.6570545870773429
ALPUJARRA,TOLIMA,2023,7.86839504033876,5.438103467226024,-0.012997009412411109,0.1758035501295674,7.728982415717259
ALTAMIRA,HUILA,2023,519.5003872314018,1256.1883374452593,-8.611386875345897,10.609304502490088,422.2059981758257
ALTOS DEL ROSARIO,BOLÍVAR,2023,20.680118984552458,21.001922321319572,-0.09214162083348233,3.2884198120889296,76.11993196684669
ALVARADO,TOLIMA,2023,233.81877662968267,191.0932220458985,-0.6411092310249211,1.512354330477431,678.6333390128468
AMAGÁ,ANTIOQUIA,2023,488.2164395561395,916.1453681468964,-5.807858636329057,18.28124483106845,245.71267292294908
AMALFI,ANTIOQUIA,2023,44.05236420459705,140.74564220905307,-1.025993642397464,6.013297920451488,125.50904460677633
AMBALEMA,TOLIMA,2023,30.84932553546308,77.53411626815802,-0.5367603960371523,3.622386929530699,89.55260211195672
ANCUYÁ,NARIÑO,2023,21.85067974944592,129.83171076774596,-1.0276089570075078,9.195388982971918,54.24161094039782
ANDALUCÍA,VALLE DEL CAUCA,2023,31937.739390149112,2149.1376647531993,119.43246027227846,32.02667901877703,1073.7586546070143
ANDES,ANTIOQUIA,2023,117.21136667101403,444.1571264743805,-3.3320007446289375,12.567110789049147,165.52357076674943
ANGOSTURA,ANTIOQUIA,2023,27.86551442447485,155.69595093727102,-1.2251414836039107,6.084179819757229,80.40741174397546
ANOLAIMA,CUNDINAMARCA,2023,498.288790561148,1292.7986374586815,-9.019436378610681,23.605993918775923,271.72968370313515
ANORÍ,ANTIOQUIA,2023,107.62980333529602,110.92076294422154,-0.4935185062390835,6.701262056270823,161.57412248506793
ANSERMA,CALDAS,2023,219.3687051899518,462.65047328472133,-3.050392879850797,17.17082719413126,174.15297835922135
ANSERMANUEVO,VALLE DEL CAUCA,2023,13.06133859423956,123.05728752613076,-1.0070427322153868,2.6266474662267276,10.232898979275094
ANZA,ANTIOQUIA,2023,28.915194656327255,186.12243518829357,-1.4835565467473353,5.630679334812076,57.55720622580818
APARTADÓ,ANTIOQUIA,2023,35691.48061340277,15024.561500403284,24.381104131753318,88.95425431792242,2841.702319221171
APULO,CUNDINAMARCA,2023,10.279249526900509,51.34924592971795,-0.39935135732215576,2.5671604212495773,21.18857830759151
APÍA,RISARALDA,2023,95.42370906306701,274.2704802036284,-1.9579579401797762,8.490510894787732,64.22648450602934
AQUITANIA,BOYACÁ,2023,672.4882394842156,1186.3002397537227,-7.346328681319124,23.488519720818367,275.9635521133499
ARACATACA,MAGDALENA,2023,71.94653324099838,472.9113778144123,-3.7760930162839013,19.071298204760303,190.38590968768312
ARANZAZU,CALDAS,2023,74.69143835618722,442.26054607629806,-3.499342380233676,15.140418000787546,146.2412499279427
ARATOCA,SANTANDER,2023,113.39640657786246,286.39167898595343,-1.9850498440054232,6.175235474882649,102.12823518380878
ARAUCA,ARAUCA,2023,11001.582548878892,13485.755153864622,-69.007407612002,182.49548841487652,3389.5272181886958
ARAUQUITA,ARAUCA,2023,22.953345290653203,117.92714402824642,-0.9199629679151058,3.875049180344427,101.2904326952979
ARBELÁEZ,CUNDINAMARCA,2023,188.72808790724036,704.4721802234651,-5.272657645384728,31.951377037317464,396.804337943428
ARBOLEDA,NARIÑO,2023,39.8552449584249,116.26235873699191,-0.83254107501534,6.1817175407565355,88.9628762165232
ARBOLEDAS,NORTE DE SANTANDER,2023,0.554906989050714,23.6816673278809,-0.20226317216015852,0.496672766733315,0.02343192231221874
ARBOLETES,ANTIOQUIA,2023,423.6436776121843,353.7958227694034,-1.2269631684747633,8.852441214666229,276.57836952183885
ARCABUCO,BOYACÁ,2023,55.86392580975768,154.5244074523449,-1.0940333047712705,3.448859574626688,64.43099849612125
ARENAL,BOLÍVAR,2023,49.84106282613035,263.97820780873343,-2.0659768493532025,7.76005126505035,53.34214331890792
ARGELIA,ANTIOQUIA,2023,3.5059103640714793,29.13195133209229,-0.2366139128321764,1.2525661733936428,0.6410008344500355
ARGELIA,CAUCA,2023,6.275563433049296,99.55780168175701,-0.8332781112313747,1.9747931118898066,22.054868156856564
